Location,Variant,Time,AgeGrp,ASFR
China,Medium,1990,30-34,56.295
China,Medium,1990,35-39,17.821
China,Medium,1990,40-44,6.829
China,Medium,1990,45-49,1.424
China,Medium,1990,50-54,0.434
China,Medium,1991,10-14,0.116
China,Medium,1991,15-19,27.892
China,Medium,1991,20-24,191.974
China,Medium,1991,25-29,123.549
China,Medium,1991,30-34,33.148
China,Medium,1991,35-39,9.611
China,Medium,1991,40-44,2.655
China,Medium,1991,45-49,0.695
China,Medium,1991,50-54,0.378
China,Medium,1992,10-14,0.112
China,Medium,1992,15-19,22.499
China,Medium,1992,20-24,180.644
China,Medium,1992,25-29,106.221
China,Medium,1992,30-34,34.96
China,Medium,1992,35-39,8.497
China,Medium,1992,40-44,2.528
China,Medium,1992,45-49,0.842
China,Medium,1992,50-54,0.404
China,Medium,1993,10-14,0.113
China,Medium,1993,15-19,21.184
China,Medium,1993,20-24,165.686
China,Medium,1993,25-29,105.802
China,Medium,1993,30-34,38.602
China,Medium,1993,35-39,7.263
China,Medium,1993,40-44,2.512
China,Medium,1993,45-49,0.915
China,Medium,1993,50-54,0.382
China,Medium,1994,10-14,0.115
China,Medium,1994,15-19,15.419
China,Medium,1994,20-24,156.375
China,Medium,1994,25-29,109.012
China,Medium,1994,30-34,39.001
China,Medium,1994,35-39,7.577
China,Medium,1994,40-44,2.511
China,Medium,1994,45-49,0.843
China,Medium,1994,50-54,0.372
China,Medium,1995,10-14,0.117
China,Medium,1995,15-19,14.349
China,Medium,1995,20-24,153.6
China,Medium,1995,25-29,109.972
China,Medium,1995,30-34,34.512
China,Medium,1995,35-39,6.559
China,Medium,1995,40-44,2.381
China,Medium,1995,45-49,0.798
China,Medium,1995,50-54,0.365
China,Medium,1996,10-14,0.117
China,Medium,1996,15-19,14.217
China,Medium,1996,20-24,148.871
China,Medium,1996,25-29,107.764
China,Medium,1996,30-34,32.682
China,Medium,1996,35-39,7.262
China,Medium,1996,40-44,1.919
China,Medium,1996,45-49,0.702
China,Medium,1996,50-54,0.354
China,Medium,1997,10-14,0.112
China,Medium,1997,15-19,11.911
